period_end,org_code,org_name,nhse_region_code,nhse_region_name,ics_code,staff_group,leavers_hc,joiners_hc,denom_start_hc,denom_end_hc,leavers_fte,denom_end_fte,leaver_rate
202308,R0B,South Tyneside and Sunderland NHS Foundation Trust,Y63,North East and Yorkshire,QHM,"Support to doctors, nurses & midwives",23.0,49.0,,2469.0,18.15334,2060.9906,0.009315512353179425
202308,R0D,University Hospitals Dorset NHS Foundation Trust,Y58,South West,QVV,Nurses & health visitors,20.0,13.0,,2520.0,15.88987,2256.71088,0.007936507936507936
202308,R0D,University Hospitals Dorset NHS Foundation Trust,Y58,South West,QVV,"Support to doctors, nurses & midwives",32.0,62.0,,2415.0,26.50665,2039.77555,0.013250517598343685
202308,R1A,Herefordshire and Worcestershire Health and Care NHS Trust,Y60,Midlands,QGH,Nurses & health visitors,10.0,24.0,,1405.0,8.54667,1214.06307,0.0071174377224199285
202308,R1A,Herefordshire and Worcestershire Health and Care NHS Trust,Y60,Midlands,QGH,"Support to doctors, nurses & midwives",12.0,18.0,,1408.0,10.27999,1157.77919,0.008522727272727272
202308,R1C,Solent NHS Trust,Y59,South East,QRL,Nurses & health visitors,9.0,10.0,,1016.0,7.05334,870.84413,0.008858267716535433
202308,R1C,Solent NHS Trust,Y59,South East,QRL,"Support to doctors, nurses & midwives",19.0,16.0,,1120.0,15.96,931.10243,0.016964285714285713
202308,R1D,Shropshire Community Health NHS Trust,Y60,Midlands,QOC,Nurses & health visitors,4.0,6.0,,568.0,3.12,470.72706,0.007042253521126761
202308,R1D,Shropshire Community Health NHS Trust,Y60,Midlands,QOC,"Support to doctors, nurses & midwives",4.0,6.0,,295.0,3.0,238.41331,0.013559322033898305
202308,R1F,Isle of Wight NHS Trust,Y59,South East,QRL,Nurses & health visitors,5.0,2.0,,1008.0,4.46666,925.55994,0.00496031746031746
202308,R1F,Isle of Wight NHS Trust,Y59,South East,QRL,"Support to doctors, nurses & midwives",19.0,19.0,,1053.0,15.93333,916.99065,0.018043684710351376
202308,R1H,Barts Health NHS Trust,Y56,London,QMF,Nurses & health visitors,42.0,39.0,,5187.0,39.40332,4889.20886,0.008097165991902834
202308,R1H,Barts Health NHS Trust,Y56,London,QMF,"Support to doctors, nurses & midwives",50.0,44.0,,3470.0,44.51813,3177.30677,0.01440922190201729
202308,R1K,London North West University Healthcare NHS Trust,Y56,London,QRV,Nurses & health visitors,32.0,12.0,,2713.0,27.35998,2585.64941,0.011795060818282344
202308,R1K,London North West University Healthcare NHS Trust,Y56,London,QRV,"Support to doctors, nurses & midwives",30.0,96.0,,2259.0,26.72178,2113.75124,0.013280212483399735
202308,R1L,Essex Partnership University NHS Foundation Trust,Y61,East of England,QH8,Nurses & health visitors,16.0,13.0,,1849.0,14.36,1673.23277,0.008653326122228232
202308,R1L,Essex Partnership University NHS Foundation Trust,Y61,East of England,QH8,"Support to doctors, nurses & midwives",22.0,40.0,,1761.0,18.94666,1553.20417,0.01249290176036343
202308,RA2,Royal Surrey County Hospital NHS Foundation Trust,Y59,South East,QXU,Nurses & health visitors,18.0,7.0,,1367.0,16.82666,1247.56759,0.013167520117044623
202308,RA2,Royal Surrey County Hospital NHS Foundation Trust,Y59,South East,QXU,"Support to doctors, nurses & midwives",19.0,42.0,,995.0,15.46667,867.97987,0.019095477386934675
202308,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,Y58,South West,QUY,Nurses & health visitors,31.0,31.0,,3512.0,25.41999,3076.15111,0.008826879271070615
202308,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,Y58,South West,QUY,"Support to doctors, nurses & midwives",51.0,102.0,,3073.0,41.62,2612.4301,0.01659616010413277
202308,RA9,Torbay and South Devon NHS Foundation Trust,Y58,South West,QJK,Nurses & health visitors,12.0,11.0,,1504.0,10.33333,1298.62831,0.007978723404255319
202308,RA9,Torbay and South Devon NHS Foundation Trust,Y58,South West,QJK,"Support to doctors, nurses & midwives",28.0,29.0,,1762.0,24.76665,1453.76682,0.015891032917139614
202308,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Y63,North East and Yorkshire,QWO,Nurses & health visitors,14.0,14.0,,1537.0,10.61332,1370.22829,0.009108653220559532
202308,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Y63,North East and Yorkshire,QWO,"Support to doctors, nurses & midwives",19.0,34.0,,1575.0,16.26,1353.20014,0.012063492063492064
202308,RAJ,Mid and South Essex NHS Foundation Trust,Y61,East of England,QH8,Nurses & health visitors,47.0,17.0,,4481.0,40.76666,4077.73419,0.010488730194153091
202308,RAJ,Mid and South Essex NHS Foundation Trust,Y61,East of England,QH8,"Support to doctors, nurses & midwives",73.0,121.0,,4499.0,58.82665,3901.89338,0.01622582796176928
202308,RAL,Royal Free London NHS Foundation Trust,Y56,London,QMJ,Nurses & health visitors,34.0,25.0,,3324.0,32.4232,3159.2098,0.01022864019253911
202308,RAL,Royal Free London NHS Foundation Trust,Y56,London,QMJ,"Support to doctors, nurses & midwives",43.0,33.0,,2441.0,37.29013,2268.05892,0.017615731257681278
202308,RAN,Royal National Orthopaedic Hospital NHS Trust,Y56,London,QRV,Nurses & health visitors,4.0,2.0,,410.0,4.0,373.74278,0.00975609756097561
202308,RAN,Royal National Orthopaedic Hospital NHS Trust,Y56,London,QRV,"Support to doctors, nurses & midwives",5.0,6.0,,399.0,3.50666,365.41864,0.012531328320802004
202308,RAP,North Middlesex University Hospital NHS Trust,Y56,London,QMJ,Nurses & health visitors,13.0,3.0,,1430.0,11.04001,1324.7595,0.00909090909090909
202308,RAP,North Middlesex University Hospital NHS Trust,Y56,London,QMJ,"Support to doctors, nurses & midwives",16.0,13.0,,1229.0,13.97334,1102.69654,0.013018714401952807
